Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
1,Great Tusk,39.52410,1159071,39.524,900731,39.379,9
2,Gholdengo,32.66727,957990,32.667,723768,31.642,9
3,Rotom-Wash,18.89184,554016,18.892,481002,21.029,4
4,Iron Valiant,18.49393,542347,18.494,384070,16.791,9
5,Dragapult,17.86421,523880,17.864,412665,18.041,8
6,Garganacl,17.36884,509353,17.369,394517,17.248,9
7,Meowscarada,17.33648,508404,17.336,413283,18.068,9
8,Kingambit,16.82055,493274,16.821,347250,15.181,9
9,Corviknight,16.77407,491911,16.774,398621,17.427,8
10,Dragonite,16.72040,490337,16.720,354569,15.501,1
11,Skeledirge,14.38838,421949,14.388,326134,14.258,9
12,Glimmora,13.69902,401733,13.699,356527,15.587,9
13,Volcarona,13.45186,394485,13.452,294150,12.860,5
14,Clodsire,12.82446,376086,12.824,305966,13.377,9
15,Hatterene,12.72066,373042,12.721,283760,12.406,8
16,Roaring Moon,12.51818,367104,12.518,267026,11.674,9
17,Chien-Pao,12.02594,352669,12.026,257059,11.238,9
18,Greninja,11.61187,340526,11.612,273907,11.975,7
19,Garchomp,11.18525,328015,11.185,272424,11.910,6
20,Cinderace,11.06293,324428,11.063,248619,10.869,8
21,Amoonguss,9.88666,289933,9.887,233357,10.202,5
22,Breloom,9.76339,286318,9.763,224307,9.806,3
23,Ting-Lu,9.59487,281376,9.595,239034,10.450,9
24,Ceruledge,9.50017,278599,9.500,209701,9.168,9
25,Iron Moth,9.32408,273435,9.324,209031,9.139,9
26,Quaquaval,9.32347,273417,9.323,207045,9.052,9
27,Orthworm,8.64338,253473,8.643,219179,9.582,9
28,Baxcalibur,7.90000,231673,7.900,175125,7.656,9
29,Toxapex,7.63437,223883,7.634,182834,7.993,7
30,Dondozo,7.57473,222134,7.575,170189,7.440,9
31,Scizor,7.24089,212344,7.241,167846,7.338,6
32,Torkoal,7.01522,205726,7.015,185208,8.097,3
33,Iron Treads,6.79370,199230,6.794,157616,6.891,9
34,Azumarill,6.62389,194250,6.624,155474,6.797,2
35,Grimmsnarl,6.50369,190725,6.504,164812,7.205,8
36,Pelipper,6.27082,183896,6.271,170224,7.442,3
37,Espathra,4.51059,132276,4.511,94903,4.149,9
38,Walking Wake,3.93969,115534,3.940,97329,4.255,9
39,Hydreigon,3.62553,106321,3.626,84157,3.679,5
40,Floatzel,3.48807,102290,3.488,81282,3.554,4
41,Armarouge,2.94268,86296,2.943,65091,2.846,9
42,Pawmot,2.77825,81474,2.778,56679,2.478,9
43,Iron Hands,2.64833,77664,2.648,59565,2.604,9
44,Lokix,2.63830,77370,2.638,61204,2.676,9
45,Sandy Shocks,2.53651,74385,2.537,61389,2.684,9
46,Slowking,2.51166,73656,2.512,61124,2.672,8
47,Toedscruel,2.49740,73238,2.497,61008,2.667,9
48,Maushold,2.38249,69868,2.382,50217,2.195,9
49,Kilowattrel,2.26375,66386,2.264,52485,2.295,9
50,Polteageist,2.25635,66169,2.256,50110,2.191,8
51,Scream Tail,2.03617,59712,2.036,48393,2.116,9
52,Gengar,1.93363,56705,1.934,43179,1.888,6
53,Slither Wing,1.90379,55830,1.904,43314,1.894,9
54,Tyranitar,1.85551,54414,1.856,42361,1.852,6
55,Gallade,1.78226,52266,1.782,38936,1.702,6
56,Magnezone,1.76398,51730,1.764,40930,1.789,4
57,Tinkaton,1.74393,51142,1.744,40957,1.791,9
58,Indeedee,1.68446,49398,1.684,44349,1.939,8
59,Mimikyu,1.61040,47226,1.610,34978,1.529,7
60,Zoroark-Hisui,1.58663,46529,1.587,17857,0.781,8
61,Haxorus,1.53251,44942,1.533,31807,1.391,5
62,Brute Bonnet,1.49381,43807,1.494,34268,1.498,9
63,Masquerain,1.48327,43498,1.483,40177,1.756,3
64,Iron Jugulis,1.48276,43483,1.483,34744,1.519,9
65,Talonflame,1.43519,42088,1.435,33741,1.475,6
66,Tauros-Paldea-Aqua,1.40747,41275,1.407,33125,1.448,9
67,Blissey,1.40205,41116,1.402,32236,1.409,2
68,Ditto,1.38994,40761,1.390,29189,1.276,1
69,Arboliva,1.37981,40464,1.380,31276,1.367,9
70,Barraskewda,1.35860,39842,1.359,30443,1.331,8
71,Gastrodon,1.33436,39131,1.334,31520,1.378,4
72,Gyarados,1.29494,37975,1.295,29672,1.297,6
73,Charizard,1.27434,37371,1.274,28503,1.246,6
74,Espeon,1.23857,36322,1.239,28250,1.235,2
75,Scovillain,1.23312,36162,1.233,27380,1.197,9
76,Cloyster,1.16679,34217,1.167,25044,1.095,1
77,Salamence,1.14828,33674,1.148,26198,1.145,6
78,Wo-Chien,1.11581,32722,1.116,26381,1.153,9
79,Iron Leaves,1.10333,32356,1.103,24875,1.088,9
80,Hawlucha,1.09106,31996,1.091,23228,1.016,6
81,Noivern,1.04485,30641,1.045,23510,1.028,6
82,Tauros-Paldea-Blaze,1.03080,30229,1.031,23997,1.049,9
83,Grafaiai,1.01904,29884,1.019,23806,1.041,9
84,Gardevoir,0.98913,29007,0.989,22001,0.962,6
85,Goodra,0.97764,28670,0.978,21888,0.957,8
86,Lucario,0.97297,28533,0.973,20895,0.914,6
87,Forretress,0.96884,28412,0.969,24417,1.067,2
88,Alomomola,0.95988,28149,0.960,22528,0.985,5
89,Pincurchin,0.89198,26158,0.892,23466,1.026,8
90,Toxtricity,0.82140,24088,0.821,18232,0.797,8
91,Staraptor,0.76970,22572,0.770,17972,0.786,4
92,Iron Thorns,0.74719,21912,0.747,15817,0.692,9
93,Sylveon,0.70317,20621,0.703,14828,0.648,6
94,Quagsire,0.69632,20420,0.696,15803,0.691,2
95,Spidops,0.69397,20351,0.694,18319,0.801,9
96,Weavile,0.66253,19429,0.663,14539,0.636,4
97,Arcanine,0.65864,19315,0.659,15119,0.661,8
98,Abomasnow,0.64275,18849,0.643,16423,0.718,6
99,Brambleghast,0.63859,18727,0.639,14388,0.629,9
100,Cetitan,0.61976,18175,0.620,13129,0.574,9
101,Rotom-Heat,0.61502,18036,0.615,14899,0.651,4
102,Slowbro,0.60749,17815,0.607,14187,0.620,8
103,Salazzle,0.60735,17811,0.607,13997,0.612,7
104,Veluza,0.60462,17731,0.605,13036,0.570,9
105,Bellibolt,0.60387,17709,0.604,13763,0.602,9
106,Zoroark,0.56486,16565,0.565,7108,0.311,8
107,Flamigo,0.55150,16173,0.551,12607,0.551,9
108,Umbreon,0.54263,15913,0.543,11995,0.524,2
109,Donphan,0.52609,15428,0.526,12722,0.556,2
110,Jolteon,0.51917,15225,0.519,11818,0.517,1
111,Avalugg,0.51269,15035,0.513,11171,0.488,8
112,Lycanroc-Dusk,0.51044,14969,0.510,11472,0.502,7
113,Bisharp,0.50096,14691,0.501,10792,0.472,5
114,Rabsca,0.47978,14070,0.480,9239,0.404,9
115,Revavroom,0.45346,13298,0.453,9867,0.431,9
116,Hippowdon,0.44739,13120,0.447,11125,0.486,4
117,Golduck,0.43542,12769,0.435,10074,0.440,1
118,Tsareena,0.42853,12567,0.429,9448,0.413,7
119,Vaporeon,0.42720,12528,0.427,9873,0.432,1
120,Heracross,0.42103,12347,0.421,9146,0.400,6
121,Frosmoth,0.41537,12181,0.415,8395,0.367,8
122,Sableye,0.41056,12040,0.411,9546,0.417,6
