Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
329,Houndoom,0.08705,1752,0.087,1305,0.082,6
330,Meowstic,0.08695,1750,0.087,1365,0.086,6
331,Murkrow,0.08635,1738,0.086,1297,0.081,2
332,Exeggutor,0.08541,1719,0.085,1295,0.081,7
333,Palossand,0.08288,1668,0.083,1324,0.083,7
334,Sudowoodo,0.08218,1654,0.082,1350,0.085,2
335,Probopass,0.08208,1652,0.082,1287,0.081,4
336,Regigigas,0.08139,1638,0.081,1220,0.076,4
337,Venomoth,0.08084,1627,0.081,1159,0.073,1
338,Weezing,0.07920,1594,0.079,1196,0.075,8
339,Komala,0.07870,1584,0.079,1231,0.077,7
340,Muk,0.07840,1578,0.078,1192,0.075,7
341,Hariyama,0.07831,1576,0.078,1245,0.078,3
342,Shaymin,0.07786,1567,0.078,1177,0.074,4
343,Perrserker,0.07776,1565,0.078,1171,0.073,8
344,Lycanroc,0.07632,1536,0.076,1155,0.072,7
345,Rotom-Mow,0.07423,1494,0.074,1212,0.076,4
346,Magcargo,0.07383,1486,0.074,1144,0.072,2
347,Mabosstiff,0.07279,1465,0.073,1139,0.071,9
348,Carbink,0.07249,1459,0.072,1202,0.075,6
349,Ariados,0.07055,1420,0.071,1233,0.077,2
350,Chimecho,0.06986,1406,0.070,1004,0.063,3
351,Lycanroc-Midnight,0.06891,1387,0.069,1013,0.063,7
352,Ursaring,0.06718,1352,0.067,1042,0.065,2
353,Pyroar,0.06638,1336,0.066,1023,0.064,6
354,Tauros,0.06623,1333,0.066,983,0.062,9
355,Victreebel,0.06593,1327,0.066,1034,0.065,1
356,Furret,0.06524,1313,0.065,936,0.059,2
357,Cacturne,0.06315,1271,0.063,943,0.059,3
358,Persian-Alola,0.06285,1265,0.063,1049,0.066,7
359,Bruxish,0.06136,1235,0.061,936,0.059,7
360,Oricorio-Sensu,0.06032,1214,0.060,885,0.055,7
361,Hoopa,0.05972,1202,0.060,918,0.058,6
362,Bellossom,0.05972,1202,0.060,820,0.051,2
363,Terrakion,0.05918,1191,0.059,881,0.055,5
364,Jumpluff,0.05719,1151,0.057,882,0.055,2
365,Dedenne,0.05719,1151,0.057,893,0.056,6
366,Alcremie,0.05684,1144,0.057,839,0.053,8
367,Volbeat,0.05639,1135,0.056,868,0.054,3
368,Crabominable,0.05639,1135,0.056,838,0.053,7
369,Magneton,0.05634,1134,0.056,894,0.056,1
370,Squawkabilly,0.05505,1108,0.055,832,0.052,9
371,Copperajah,0.05386,1084,0.054,783,0.049,8
372,Samurott,0.05326,1072,0.053,868,0.054,8
373,Dodrio,0.05297,1066,0.053,823,0.052,1
374,Mesprit,0.05277,1062,0.053,882,0.055,4
375,Haunter,0.05197,1046,0.052,794,0.050,1
376,Dugtrio,0.05133,1033,0.051,820,0.051,7
377,Zebstrika,0.04959,998,0.050,645,0.040,5
378,Rotom-Frost,0.04914,989,0.049,761,0.048,4
379,Seviper,0.04914,989,0.049,709,0.044,3
380,Dunsparce,0.04899,986,0.049,802,0.050,2
381,Vivillon,0.04859,978,0.049,716,0.045,6
382,Oricorio,0.04790,964,0.048,735,0.046,7
383,Sandslash,0.04740,954,0.047,750,0.047,7
384,Flapple,0.04516,909,0.045,641,0.040,8
385,Skuntank,0.04502,906,0.045,694,0.043,4
386,Falinks,0.04447,895,0.044,635,0.040,8
387,Camerupt,0.04392,884,0.044,693,0.043,6
388,Gogoat,0.04338,873,0.043,635,0.040,6
389,Sawsbuck,0.04313,868,0.043,646,0.040,5
390,Pachirisu,0.04198,845,0.042,636,0.040,4
391,Dipplin,0.04194,844,0.042,595,0.037,9
392,Qwilfish-Hisui,0.04179,841,0.042,726,0.045,8
393,Illumise,0.04159,837,0.042,628,0.039,3
